Table 26,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2016",,,,,
State,City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
,Prosperity,"1,204",3,3,0
,Ridgeland,"3,991",14,13,1
,Ridgeville,"1,811",2,2,0
,Rock Hill,"72,589",194,150,44
,Salem,148,3,3,0
,Salley,420,1,1,0
,Saluda,"3,603",13,11,2
,Santee,930,6,6,0
,Scranton,864,1,1,0
,Seneca,"8,308",50,37,13
,Simpsonville,"21,223",45,34,11
,Society Hill,545,1,1,0
,South Congaree,"2,404",7,6,1
,Spartanburg,"38,083",138,115,23
,Springdale,"2,814",7,7,0
,Springfield,499,1,1,0
,St. George,"2,197",10,10,0
,St. Matthews,"1,978",8,7,1
,St. Stephen,"1,829",6,6,0
,Sullivans Island,"1,940",11,10,1
,Summerton,959,5,5,0
,Summerville,"50,154",115,94,21
,Sumter,"40,864",158,110,48
,Surfside Beach,"4,372",25,19,6
,Swansea,904,3,2,1
,Tega Cay,"10,032",27,24,3
,Travelers Rest,"5,074",22,16,6
,Turbeville,798,4,3,1
,Union,"7,981",34,31,3
,Wagener,827,5,5,0
,Walhalla,"4,254",14,13,1
,Walterboro,"5,253",35,27,8
,Ware Shoals,"2,175",10,9,1
,West Columbia,"16,193",62,50,12
,Westminster,"2,493",11,11,0
,West Pelzer,914,4,3,1
,West Union,313,2,2,0
,Whitmire,"1,466",7,6,1
,Williamston,"4,161",17,16,1
,Williston,"3,007",11,10,1
,Winnsboro,"3,316",21,20,1
,Woodruff,"4,137",11,10,1
,York,"8,058",39,32,7
SOUTH DAKOTA,Aberdeen,"28,498",54,45,9
,Alcester,752,2,2,0
,Avon,567,1,1,0
,Beresford,"1,969",4,4,0
,Box Elder,"9,607",12,11,1
,Brandon,"10,042",13,12,1
,Brookings,"23,971",47,34,13
,Canton,"3,380",5,5,0
,Clark,"1,033",2,2,0
,Deadwood,"1,255",15,12,3
,Eagle Butte,"1,355",3,3,0
,Elk Point,"1,854",4,4,0
,Faith,414,2,2,0
,Flandreau,"2,296",7,6,1
,Freeman,"1,284",2,2,0
,Gregory,"1,247",3,3,0
,Groton,"1,518",4,4,0
,Hot Springs,"3,507",8,7,1
,Huron,"13,459",36,26,10
,Jefferson,511,1,1,0
,Kadoka,718,1,1,0
,Lead,"2,974",6,5,1
,Lennox,"2,304",4,4,0
,Leola,437,1,1,0
,Madison,"7,411",12,11,1
,Menno,593,1,1,0
,Milbank,"3,162",7,7,0
,Miller,"1,427",4,4,0
,Mitchell,"15,749",30,27,3
,Mobridge,"3,465",16,8,8
,North Sioux City,"2,772",9,8,1
,Parkston,"1,483",3,3,0
,Philip,747,2,2,0
,Pierre,"14,068",40,26,14
,Rapid City,"74,573",143,114,29
,Scotland,816,1,1,0
,Sioux Falls,"175,152",276,239,37
,Sisseton,"2,451",7,7,0
,Spearfish,"11,429",31,21,10
,Springfield,"1,947",2,2,0
,Sturgis,"6,699",18,15,3
,Summerset,"2,329",3,3,0
,Tea,"5,064",6,6,0
,Tripp,627,1,1,0
,Tyndall,"1,046",2,2,0
,Vermillion,"10,774",19,18,1
,Wagner,"1,593",5,5,0
,Watertown,"22,186",59,38,21
,Webster,"1,785",5,5,0
,Winner,"2,805",10,10,0
,Yankton,"14,575",29,26,3
TENNESSEE,Adamsville,"2,245",6,5,1
,Alamo,"2,486",5,5,0
,Alcoa,"9,503",49,41,8
,Alexandria,978,3,3,0
,Algood,"3,770",14,14,0
,Ardmore,"1,213",11,7,4
,Ashland City,"4,650",13,11,2
,Athens,"13,717",31,29,2
,Atoka,"9,176",20,19,1
,Baileyton,431,2,2,0
,Baneberry,526,1,1,0
,Bartlett,"58,897",155,120,35
,Baxter,"1,388",6,6,0
,Bean Station,"3,085",7,7,0
,Belle Meade,"3,021",21,15,6
,Bells,"2,449",4,4,0
,Benton,"1,275",6,6,0
,Berry Hill,549,18,14,4
,Big Sandy,540,1,1,0
,Blaine,"1,869",2,2,0
,Bluff City,"1,719",8,8,0
,Bolivar,"5,032",24,22,2
,Bradford,"1,004",5,5,0
,Brentwood,"42,739",73,58,15
,Brighton,"3,018",6,6,0
,Bristol,"26,656",88,69,19
,Brownsville,"9,795",39,34,5
,Bruceton,"1,426",2,2,0
,Burns,"1,475",1,1,0
,Calhoun,496,2,2,0
,Camden,"3,574",17,13,4
,Carthage,"2,273",12,8,4
,Caryville,"2,182",6,6,0
,Celina,"1,494",8,6,2
,Centerville,"3,574",23,13,10
,Chapel Hill,"1,471",6,6,0
,Charleston,681,3,3,0
,Chattanooga,"177,801",523,434,89
,Church Hill,"6,714",11,10,1
,Clarksville,"152,526",348,282,66
,Cleveland,"44,423",103,85,18
,Clifton,"2,657",5,5,0
,Clinton,"10,091",40,33,7
,Collegedale,"11,245",22,22,0
,Collierville,"49,531",137,99,38
,Collinwood,972,4,4,0
,Columbia,"37,219",97,85,12
,Cookeville,"32,292",90,70,20
,Coopertown,"4,426",4,3,1
,Cornersville,"1,227",2,2,0
,Covington,"9,039",36,35,1
,Cowan,"1,698",3,3,0
,Cross Plains,"1,725",2,2,0
,Crossville,"11,514",43,40,3
,Crump,"1,394",4,4,0
,Cumberland City,300,2,2,0
,Dandridge,"2,949",12,11,1
,Dayton,"7,421",19,18,1
,Decatur,"1,571",6,6,0
,Decaturville,869,1,1,0
,Decherd,"2,439",12,11,1
,Dickson,"15,501",48,43,5
,Dover,"1,465",5,5,0
,Dresden,"2,879",10,9,1
,Dunlap,"5,167",14,12,2
,Dyer,"2,262",7,6,1
,Dyersburg,"16,711",63,55,8
,Eagleville,661,3,3,0
,East Ridge,"21,311",42,37,5
,Elizabethton,"13,672",40,36,4
,Elkton,563,2,2,0
,Englewood,"1,529",6,5,1
,Erin,"1,288",5,5,0
,Erwin,"5,959",14,14,0
,Estill Springs,"2,043",6,6,0
,Ethridge,476,1,1,0
,Etowah,"3,503",11,10,1
,Fairview,"8,440",19,18,1
,Fayetteville,"7,182",27,25,2
,Franklin,"74,771",139,128,11
,Friendship,668,1,1,0
,Gainesboro,954,5,4,1
,Gallatin,"35,154",92,71,21
,Gallaway,654,1,1,0
,Gatlinburg,"4,229",53,44,9
,Germantown,"39,311",123,100,23
,Gibson,370,4,3,1
,Gleason,"1,399",5,5,0
,Goodlettsville,"23,358",55,40,15
,Gordonsville,"1,203",6,6,0
,Grand Junction,299,2,2,0
,Graysville,"1,517",5,4,1
,Greenbrier,"6,807",15,14,1
,Greeneville,"15,101",53,51,2
,Greenfield,"2,108",7,6,1
,Halls,"2,164",7,6,1
,Harriman,"6,195",17,16,1
,Henderson,"6,597",15,15,0
,Hendersonville,"56,965",132,105,27
,Henry,467,1,1,0
,Hohenwald,"3,650",16,15,1
,Hollow Rock,693,1,1,0
,Hornbeak,406,1,1,0
,Humboldt,"8,287",35,29,6
,Huntingdon,"3,912",16,12,4
,Huntland,852,5,5,0
,Jacksboro,"1,935",5,5,0
,Jackson,"66,990",256,212,44
,Jamestown,"1,945",9,9,0
,Jasper,"3,323",8,8,0
,Jefferson City,"8,549",29,27,2
,Jellico,"2,244",7,6,1
,Johnson City,"66,511",177,148,29
,Jonesborough,"5,338",21,17,4
,Kenton,"1,213",3,3,0
,Kimball,"1,398",9,9,0
,Kingsport,"53,059",153,113,40
,Kingston,"5,823",13,12,1
,Kingston Springs,"2,773",5,4,1
,Knoxville,"186,583",465,377,88
,Lafayette,"5,088",22,15,7
,La Follette,"6,977",30,21,9
,La Vergne,"35,228",66,53,13
,Lawrenceburg,"10,595",39,35,4
,Lebanon,"31,125",93,74,19
,Lenoir City,"9,175",24,22,2
,Lewisburg,"11,552",31,30,1
,Lexington,"7,859",32,27,5
,Livingston,"4,073",22,17,5
,Lookout Mountain,"1,887",21,16,5
,Loretto,"1,752",4,4,0
,Loudon,"5,800",15,14,1
,Madisonville,"4,823",20,17,3
,Manchester,"10,596",35,32,3
,Martin,"10,859",38,29,9
,Maryville,"28,661",56,50,6
,Mason,"1,594",4,3,1
,Maynardville,"2,343",4,4,0
,McEwen,"1,693",5,5,0
,McKenzie,"5,294",18,13,5
,McMinnville,"13,789",36,32,4
,Memphis,"656,434","2,385","1,978",407
,Middleton,652,3,3,0
,Milan,"7,803",29,23,6
,Millersville,"6,748",16,12,4
,Millington,"11,002",41,30,11
,Minor Hill,525,2,2,0
,Monteagle,"1,174",6,6,0
,Monterey,"2,858",7,6,1
,Morristown,"29,576",92,85,7
,Moscow,528,4,4,0
,Mountain City,"2,463",8,8,0
,Mount Carmel,"5,424",4,4,0
,Mount Juliet,"33,048",70,55,15
,Mount Pleasant,"4,835",12,12,0
,Munford,"6,140",19,17,2
,Murfreesboro,"129,730",267,218,49
,Nashville Metropolitan,"668,685","1,708","1,398",310
,Newbern,"3,341",21,13,8
,New Johnsonville,"1,884",6,5,1
,New Market,"1,371",3,3,0
,Newport,"6,812",32,27,5
,New Tazewell,"2,943",9,9,0
,Niota,718,4,3,1
,Nolensville,"7,164",6,6,0
,Norris,"1,655",11,7,4
,Oakland,"7,670",15,14,1
,Oak Ridge,"29,296",71,55,16
,Obion,"1,065",2,2,0
,Oliver Springs,"3,238",14,10,4
,Oneida,"3,701",17,12,5
,Paris,"10,143",37,26,11
,Parsons,"2,331",7,7,0
,Petersburg,549,2,2,0
,Pigeon Forge,"6,230",69,57,12
,Pikeville,"1,642",3,3,0
,Piperton,"1,667",8,8,0
,Pittman Center,578,3,3,0
,Plainview,"2,049",1,1,0
,Pleasant View,"4,327",5,5,0
,Portland,"12,502",36,27,9
,Pulaski,"7,572",28,26,2
,Puryear,668,1,1,0
,Red Bank,"11,789",26,24,2
,Red Boiling Springs,"1,146",5,5,0
,Ridgely,"1,690",5,5,0
,Ridgetop,"2,021",6,6,0
,Ripley,"8,129",31,24,7
,Rockwood,"5,400",17,16,1
,Rocky Top,"1,764",9,6,3
,Rogersville,"4,374",13,12,1
,Rossville,790,5,5,0
,Rutherford,"1,101",5,4,1
,Rutledge,"1,200",5,5,0
,Savannah,"7,035",20,18,2
,Scotts Hill,985,2,2,0
,Selmer,"4,507",19,17,2
,Sevierville,"16,843",64,50,14
,Sharon,911,1,1,0
,Shelbyville,"21,511",52,42,10
,Signal Mountain,"8,577",18,16,2
,Smithville,"4,662",15,14,1
,Smyrna,"48,016",100,77,23
,Sneedville,"1,338",1,1,0
,Soddy-Daisy,"13,215",36,29,7
,Somerville,"3,095",11,11,0
,South Carthage,"1,337",4,4,0
,South Fulton,"2,243",6,6,0
,South Pittsburg,"3,115",8,8,0
,Sparta,"5,131",15,14,1
,Spencer,"1,640",2,2,0
,Spring City,"1,998",9,9,0
,Springfield,"16,873",39,34,5
,Spring Hill,"37,599",52,48,4
,Sunbright,544,2,2,0
,Surgoinsville,"1,785",1,1,0
,Sweetwater,"5,957",20,19,1
,Tazewell,"2,301",6,6,0
,Tellico Plains,955,6,6,0
,Tiptonville,"4,331",7,7,0
,Townsend,453,3,3,0
,Tracy City,"1,433",5,5,0
,Trenton,"4,108",20,15,5
,Trezevant,838,1,1,0
,Trimble,620,1,1,0
,Troy,"1,307",4,4,0
,Tullahoma,"19,229",42,37,5
,Tusculum,"2,667",2,2,0
,Union City,"10,506",42,34,8
,Vonore,"1,496",9,9,0
,Wartburg,901,5,5,0
,Wartrace,661,2,1,1
,Watertown,"1,524",5,5,0
,Waverly,"4,089",13,12,1
,Waynesboro,"2,380",6,6,0
,Westmoreland,"2,308",11,7,4
,White Bluff,"3,442",5,5,0
,White House,"11,419",25,22,3
,White Pine,"2,250",11,10,1
,Whiteville,"4,502",5,5,0
,Whitwell,"1,731",6,6,0
,Winchester,"8,545",25,23,2
,Winfield,948,1,1,0
,Woodbury,"2,779",9,8,1
TEXAS,Abernathy,"2,728",5,5,0
,Addison,"16,067",68,59,9
,Alamo,"19,409",39,30,9
,Alamo Heights,"8,248",35,22,13
,Alice,"19,464",47,37,10
,Allen,"101,020",179,120,59
,Alpine,"5,939",16,11,5
,Alton,"16,137",21,16,5
,Alvin,"26,100",76,47,29
,Amarillo,"200,141",411,343,68
,Andrews,"14,428",20,19,1
,Angleton,"19,546",48,36,12
,Anna,"12,233",16,15,1
,Anson,"2,315",5,5,0
,Aransas Pass,"8,603",39,26,13
,Arcola,"1,679",6,6,0
,Argyle,"4,047",8,8,0
,Athens,"12,802",30,24,6
,Atlanta,"5,594",17,12,5
,Aubrey,"3,527",6,6,0
,Austin,"956,911","2,361","1,807",554
,Azle,"11,854",33,25,8
,Baird,"1,481",2,2,0
,Balch Springs,"25,474",53,36,17
,Ballinger,"3,767",9,7,2
,Bangs,"1,575",3,3,0
,Bartonville,"1,702",4,4,0
,Bastrop,"8,447",25,22,3
,Bay City,"17,595",63,41,22
,Bayou Vista,"1,603",6,6,0
,Baytown,"77,224",235,163,72
,Beaumont,"118,283",317,254,63
,Bedford,"49,803",126,76,50
,Bee Cave,"6,891",20,19,1
,Beeville,"13,362",34,25,9
,Bellmead,"10,212",31,20,11
,Bellville,"4,296",12,11,1
,Belton,"20,988",45,35,10
,Benbrook,"22,906",47,38,9
,Bertram,"1,398",3,3,0
,Beverly Hills,"2,034",13,9,4
,Big Sandy,"1,380",5,5,0
,Big Spring,"29,189",51,34,17
,Bishop,"3,154",10,6,4
,Blanco,"1,913",7,7,0
,Blue Mound,"2,509",11,7,4
,Boerne,"14,368",51,38,13
,Bogata,"1,103",4,4,0
,Bonham,"10,070",27,18,9
,Borger,"12,894",29,27,2
,Bovina,"1,750",3,3,0
,Bowie,"5,108",20,15,5
,Boyd,"1,362",7,7,0
,Brady,"5,560",17,9,8
,Brazoria,"3,082",12,8,4
,Breckenridge,"5,556",19,12,7
,Bremond,919,3,3,0
,Brenham,"16,736",38,33,5
,Bridge City,"7,959",21,15,6
,Bridgeport,"6,466",21,14,7
,Brookshire,"5,203",20,16,4
,Brookside Village,"1,577",4,4,0
,Brownfield,"9,750",24,19,5
,Brownsville,"185,583",354,244,110
,Bryan,"83,286",178,141,37
,Buda,"15,449",20,18,2
,Bullard,"2,906",11,10,1
,Bulverde,"4,999",16,15,1
,Burkburnett,"11,088",25,19,6
,Burleson,"45,116",82,61,21
,Burnet,"6,288",17,16,1
,Cactus,"3,198",10,8,2
,Caddo Mills,"1,497",5,5,0
,Caldwell,"4,318",11,10,1
,Calvert,"1,144",4,4,0
,Cameron,"5,445",16,11,5
,Canyon,"15,212",26,23,3
,Carthage,"6,858",23,17,6
,Castle Hills,"4,485",29,21,8
,Castroville,"2,960",10,9,1
,Cedar Hill,"49,215",87,64,23
,Cedar Park,"69,051",116,80,36
,Celina,"8,074",17,16,1
,Center,"5,218",25,18,7
,Cibolo,"28,077",37,32,5
,Cisco,"3,769",11,8,3
,Clarksville,"3,170",7,4,3
,Cleburne,"30,069",70,52,18
,Cleveland,"7,893",27,16,11
,Clifton,"3,344",8,7,1
,Clute,"11,490",30,22,8
,Clyde,"3,784",8,7,1
,Cockrell Hill,"4,340",21,15,6
,Coleman,"4,334",17,10,7
,College Station,"110,785",187,130,57
,Colleyville,"26,038",49,43,6
,Collinsville,"1,700",3,3,0
,Colorado City,"4,111",13,7,6
,Columbus,"3,625",12,11,1
,Comanche,"4,171",12,11,1
,Combes,"3,089",8,8,0
,Commerce,"9,062",23,17,6
,Conroe,"71,111",162,118,44
,Converse,"22,782",51,36,15
,Coppell,"41,654",69,62,7
,Copperas Cove,"33,237",67,45,22
,Corpus Christi,"327,948",625,444,181
,Corrigan,"1,529",19,13,6
,Corsicana,"23,974",45,36,9
,Crandall,"3,318",14,14,0
,Crane,"4,013",13,7,6
,Crockett,"6,480",16,14,2
,Crosbyton,"1,692",3,3,0
,Crowell,850,1,1,0
,Crowley,"15,272",40,29,11
,Crystal City,"7,566",13,9,4
,Cuero,"7,167",16,15,1
,Cumby,792,3,3,0
,Daingerfield,"2,432",8,7,1
,Dalhart,"8,455",19,15,4
,Dallas,"1,320,939","3,829","3,279",550
,Dalworthington Gardens,"2,395",17,12,5
,Danbury,"1,788",4,4,0
,Decatur,"6,621",30,25,5
,Deer Park,"34,156",83,56,27
,De Kalb,"1,653",5,5,0
,Del Rio,"36,177",76,60,16
,Denison,"23,237",58,44,14
,Denton,"134,054",217,161,56
,Denver City,"4,949",13,8,5
,DeSoto,"53,143",120,65,55
,Devine,"4,775",13,9,4
,Diboll,"5,399",19,14,5
,Dickinson,"20,131",44,29,15
,Dilley,"4,290",9,8,1
,Dimmitt,"4,153",9,7,2
,Double Oak,"3,118",8,8,0
,Driscoll,754,5,4,1
,Dublin,"3,667",12,8,4
,Dumas,"15,051",30,24,6
,Duncanville,"40,075",66,54,12
,Eagle Lake,"3,652",11,10,1
,Eagle Pass,"29,257",78,63,15
,Early,"2,842",9,7,2
,Eastland,"3,799",12,10,2
,Edgewood,"1,452",4,4,0
,Edinburg,"86,535",195,141,54
,Edna,"5,855",12,10,2
,El Campo,"11,604",39,31,8
,Electra,"2,695",13,8,5
,Elgin,"9,229",26,20,6
,El Paso,"687,193","1,236","1,013",223
,Elsa,"6,861",23,17,6
,Ennis,"19,096",44,36,8
,Euless,"54,791",132,84,48
,Everman,"6,399",18,14,4
,Fairfield,"2,905",13,8,5
,Fair Oaks Ranch,"7,723",22,20,2
,Fairview,"8,685",15,15,0
,Farmers Branch,"33,571",100,68,32
,Farmersville,"3,474",12,10,2
,Farwell,"1,301",2,2,0
,Ferris,"2,552",15,10,5
,Florence,"1,249",2,2,0
,Floresville,"7,499",19,17,2
,Flower Mound,"72,600",121,81,40
,Floydada,"2,729",6,6,0
,Forney,"19,252",42,28,14
,Fort Worth,"851,849","2,007","1,566",441
,Fredericksburg,"11,205",34,30,4
,Freer,"2,718",10,6,4
,Friendswood,"39,402",78,58,20
,Friona,"3,849",10,6,4
,Frisco,"162,917",247,166,81
,Fulton,"1,580",1,1,0
,Gainesville,"16,349",56,42,14
,Galena Park,"11,209",23,18,5
,Galveston,"50,667",179,143,36
,Ganado,"2,116",3,3,0
,Garden Ridge,"3,971",13,12,1
,Garland,"238,859",454,326,128
,Gatesville,"15,717",26,17,9
,Georgetown,"67,436",117,80,37
,George West,"2,670",10,9,1
,Giddings,"5,102",16,12,4
,Gilmer,"5,246",19,15,4
,Gladewater,"6,427",20,14,6
,Glenn Heights,"12,185",18,15,3
,Godley,"1,082",6,6,0
,Gonzales,"7,609",29,21,8
,Gorman,"1,045",2,2,0
,Graham,"8,857",25,23,2
,Granbury,"9,683",38,33,5
,Grand Prairie,"190,270",384,257,127
,Grand Saline,"3,130",7,7,0
,Granger,"1,536",2,2,0
,Granite Shoals,"5,104",9,9,0
,Grapeland,"1,404",3,3,0
,Greenville,"26,689",73,54,19
,Gregory,"2,012",5,5,0
,Groesbeck,"4,299",8,8,0
,Groves,"15,680",21,19,2
,Gun Barrel City,"6,048",19,13,6
,Hallettsville,"2,601",8,7,1
,Haltom City,"44,558",84,71,13
,Hamilton,"2,908",8,7,1
,Hamlin,"2,026",8,5,3
,Harlingen,"65,913",170,130,40
,Hawkins,"1,296",4,4,0
,Hearne,"4,459",18,12,6
,Heath,"8,400",20,19,1
,Hedwig Village,"2,724",23,17,6
,Helotes,"8,855",22,20,2
,Hemphill,"1,209",4,4,0
,Hempstead,"7,403",23,19,4
,Hereford,"14,941",33,27,6
,Hewitt,"14,384",35,23,12
,Hidalgo,"13,943",45,34,11
,Highland Park,"9,316",71,57,14
,Highland Village,"16,357",40,30,10
,Hill Country Village,"1,083",11,11,0
,Hitchcock,"7,753",26,19,7
,Hollywood Park,"3,338",13,12,1
,Hondo,"9,178",24,21,3
,Hooks,"2,739",7,7,0
,Horizon City,"19,808",40,23,17
,Horseshoe Bay,"3,585",21,19,2
,Houston,"2,334,348","6,632","5,182","1,450"
,Howe,"2,840",6,6,0
,Hubbard,"1,359",5,5,0
,Hughes Springs,"1,780",9,9,0
,Humble,"15,770",80,57,23
,Huntington,"2,145",6,6,0
,Huntsville,"41,390",65,58,7
,Hurst,"39,345",121,75,46
,Hutchins,"5,809",23,17,6
,Hutto,"24,160",31,28,3
,Idalou,"2,343",4,4,0
,Indian Lake,642,2,2,0
,Ingleside,"9,769",32,24,8
,Ingram,"1,828",7,6,1
,Iowa Park,"6,338",17,11,6
,Irving,"240,765",482,330,152
,Italy,"1,904",7,5,2
,Itasca,"1,621",6,6,0
,Jacinto City,"10,825",24,19,5
,Jacksboro,"4,410",9,8,1
,Jacksonville,"14,950",38,28,10
,Jamaica Beach,"1,059",6,6,0
,Jarrell,"1,209",3,3,0
,Jasper,"7,617",26,20,6
,Jefferson,"2,038",8,7,1
,Jersey Village,"7,954",28,26,2
,Johnson City,"2,021",5,5,0
,Jones Creek,"2,076",3,3,0
,Jonestown,"2,074",8,7,1
,Joshua,"6,101",14,12,2
,Jourdanton,"4,355",11,10,1
,Junction,"2,421",5,5,0
,Karnes City,"3,437",10,9,1
,Katy,"16,589",69,52,17
,Kaufman,"7,245",21,17,4
,Keene,"6,206",18,13,5
,Keller,"47,047",84,48,36
,Kemah,"2,028",20,16,4
,Kenedy,"3,444",12,11,1
,Kennedale,"7,910",22,20,2
,Kermit,"6,596",19,13,6
,Kerrville,"23,287",68,52,16
,Kilgore,"15,258",49,37,12
,Killeen,"143,248",353,252,101
,Kingsville,"26,227",67,47,20
,Kirbyville,"2,128",6,6,0
,Knox City,"1,194",2,2,0
,Kress,681,1,1,0
,Kyle,"37,407",59,34,25
,Lacy-Lakeview,"6,629",26,17,9
,La Feria,"7,349",13,13,0
,Lago Vista,"6,643",23,16,7
,La Grange,"4,728",14,14,0
,La Grulla,"1,709",8,6,2
,Laguna Vista,"3,223",9,8,1
,La Joya,"4,350",16,11,5
,Lake Dallas,"8,053",19,14,5
,Lake Jackson,"27,676",59,44,15
,Lakeside,"1,401",3,3,0
,"Lakeview, Harrison County","6,454",16,12,4
,Lakeway,"14,771",45,31,14
,Lake Worth,"4,870",35,26,9
,La Marque,"16,191",35,29,6
,Lamesa,"9,429",24,18,6
,Lampasas,"7,898",31,18,13
,Lancaster,"39,219",57,48,9
,La Porte,"35,410",106,75,31
,Laredo,"259,325",546,473,73
,La Vernia,"1,312",7,7,0
,La Villa,"2,632",10,8,2
,Lavon,"3,045",10,9,1
,League City,"101,436",156,114,42
,Leander,"40,650",60,43,17
,Levelland,"13,997",33,22,11
,Lewisville,"105,762",219,149,70
,Lexington,"1,183",4,3,1
,Liberty,"9,169",26,18,8
,Linden,"1,978",6,5,1
,Little Elm,"41,421",51,47,4
,Littlefield,"6,033",19,12,7
,Livingston,"5,140",25,18,7
,Llano,"3,356",9,8,1
,Lockhart,"13,590",34,25,9
,Lone Star,"1,514",5,4,1
,Longview,"82,632",186,172,14
,Lorena,"1,745",6,5,1
,Lubbock,"252,900",526,392,134
,Lufkin,"36,581",99,75,24
,Luling,"5,838",19,12,7
,Lumberton,"12,500",20,17,3
,Lyford,"2,605",4,4,0
,Lytle,"2,946",8,7,1
,Madisonville,"4,681",15,13,2
,Magnolia,"1,932",17,15,2
,Malakoff,"2,292",6,6,0
,Manor,"8,200",28,24,4
,Mansfield,"65,882",225,95,130
,Manvel,"8,645",20,14,6
,Marble Falls,"6,323",32,19,13
,Marlin,"5,626",16,12,4
,Marshall,"23,876",67,47,20
,Mathis,"5,062",14,8,6
,McAllen,"142,227",408,262,146
,McKinney,"169,689",234,189,45
,Melissa,"8,132",11,11,0
,Memorial Villages,"12,282",45,32,13
,Mercedes,"16,830",38,31,7
,Mesquite,"145,786",300,218,82
,Mexia,"7,393",26,16,10
,Midland,"137,780",239,181,58
,Midlothian,"23,085",63,43,20
,Mineola,"4,649",19,13,6
,Mineral Wells,"14,391",37,28,9
,Mission,"84,380",193,148,45
,Missouri City,"75,607",131,102,29
,Monahans,"7,854",17,12,5
,Mont Belvieu,"5,482",18,11,7
,Morgans Point Resort,"4,257",9,8,1
,Moulton,911,4,4,0
,Mount Pleasant,"16,058",45,32,13
,Muleshoe,"5,193",13,8,5
,Munday,"1,347",2,2,0
,Murphy,"21,175",34,23,11
,Nacogdoches,"34,079",87,63,24
,Nash,"3,177",8,8,0
,Nassau Bay,"4,118",12,12,0
,Navasota,"7,545",27,20,7
,Nederland,"17,240",38,24,14
,Needville,"3,088",7,7,0
,New Boston,"4,666",16,11,5
,New Braunfels,"73,334",142,117,25
,New Deal,805,2,1,1
,Nixon,"2,482",7,5,2
,Nolanville,"4,876",10,10,0
,Normangee,695,1,1,0
,Northeast,"2,535",8,8,0
,Northlake,"2,329",11,11,0
,North Richland Hills,"70,409",186,110,76
,Oak Ridge,180,2,2,0
,Oak Ridge North,"3,181",17,17,0
,Odessa,"123,209",220,166,54
,O'Donnell,803,1,1,0
,Olmos Park,"2,420",14,13,1
,Olney,"3,159",7,6,1
,Olton,"2,121",5,5,0
,Omaha,986,2,2,0
,Onalaska,"1,770",8,8,0
,Orange,"19,493",56,40,16
,Overton,"2,532",12,7,5
,Ovilla,"3,933",10,9,1
,Oyster Creek,"1,136",11,7,4
,Palacios,"4,617",16,11,5
,Palestine,"18,194",54,37,17
,Palmer,"2,064",10,9,1
,Palmhurst,"2,714",18,13,5
,Palm Valley,"1,291",5,5,0
,Palmview,"5,763",37,27,10
,Pampa,"18,228",30,28,2
,Panhandle,"2,321",4,4,0
,Pantego,"2,558",16,11,5
,Paris,"24,706",86,61,25
,Pasadena,"154,648",345,268,77
,Patton Village,"1,632",18,17,1
,Pearland,"112,814",215,161,54
,Pearsall,"10,151",17,15,2
,Pecos,"9,669",41,19,22
,Pelican Bay,"1,653",4,4,0
,Penitas,"4,785",15,13,2
,Perryton,"9,354",24,14,10
,Pflugerville,"58,975",109,82,27
,Pharr,"77,744",164,125,39
,Pilot Point,"4,140",9,8,1
,Pinehurst,"2,078",8,6,2
,Pittsburg,"4,622",12,9,3
,Plainview,"20,667",40,33,7
,Plano,"288,242",512,350,162
,Pleasanton,"10,013",29,22,7
,Port Aransas,"4,055",30,19,11
,Port Arthur,"55,510",148,112,36
,Port Isabel,"5,015",25,18,7
,Portland,"16,340",42,27,15
,Port Lavaca,"12,458",23,17,6
,Port Neches,"12,741",22,19,3
,Poteet,"3,450",12,11,1
,Pottsboro,"2,267",9,8,1
,Prairie View,"6,538",7,6,1
,Primera,"4,748",9,8,1
,Prosper,"17,634",28,19,9
,Queen City,"1,466",6,6,0
,Ralls,"1,890",3,3,0
,Rancho Viejo,"2,502",8,8,0
,Raymondville,"11,104",23,14,9
,Red Oak,"12,278",26,24,2
,Refugio,"2,850",10,9,1
,Reno,"3,302",5,5,0
,Richardson,"113,216",248,155,93
,Richland Hills,"8,159",22,17,5
,Richmond,"12,245",38,28,10
,Richwood,"3,895",9,9,0
,Riesel,"1,021",3,3,0
,Rio Bravo,"4,819",1,1,0
,Rio Grande City,"14,518",39,28,11
,Rio Hondo,"2,453",7,7,0
,River Oaks,"7,782",22,17,5
,Roanoke,"7,707",40,29,11
,Robinson,"11,674",27,21,6
,Robstown,"11,596",32,24,8
,Rockdale,"5,619",16,10,6
,Rockport,"10,725",30,27,3
,Rockwall,"43,542",100,80,20
,Rollingwood,"1,570",9,9,0
,Roma,"10,310",36,28,8
,Rosenberg,"36,360",92,70,22
,Round Rock,"119,308",227,158,69
,Rowlett,"61,047",102,76,26
,Royse City,"11,914",17,16,1
,Rusk,"5,630",13,12,1
,Sabinal,"1,721",5,4,1
,Sachse,"25,467",42,28,14
,Saginaw,"22,540",42,34,8
,Salado,"2,140",5,5,0
,San Angelo,"101,870",193,162,31
,San Antonio,"1,498,642","2,819","2,152",667
,San Augustine,"1,989",8,7,1
,San Benito,"24,535",51,43,8
,San Diego,"4,350",8,7,1
,Sanger,"7,913",14,13,1
,San Juan,"37,075",58,47,11
,San Marcos,"64,380",143,103,40
,San Saba,"3,004",5,5,0
